"function_name","target_file","orchestration_dependency","assignment_locations"
"is_generic_enrichment_term","R/03_enrichment.R","generic_exact_terms","expression_130:lines_1018-1044:reporting_export_and_completion"
"online_concordance_status","R/03_enrichment.R","label_rulebook","expression_131:lines_1064-1174:reporting_export_and_completion"
"assign_module_label_with_rules","R/04_module_labeling.R","label_rulebook","expression_131:lines_1064-1174:reporting_export_and_completion"
"label_rulebook_table","R/04_module_labeling.R","label_rulebook","expression_131:lines_1064-1174:reporting_export_and_completion"
"supporting_themes_from_evidence","R/04_module_labeling.R","label_rulebook","expression_131:lines_1064-1174:reporting_export_and_completion"
"label_module_by_markers","R/04_module_labeling.R","marker_sets","expression_39:lines_197-207:cli_configuration_and_setup"
"label_module_by_markers","R/04_module_labeling.R","module_clean_labels","expression_40:lines_209-219:cli_configuration_and_setup"
"add_enrichment_priority","R/03_enrichment.R","preferred_enrichment_categories","expression_127:lines_979-988:reporting_export_and_completion"
"add_enrichment_priority","R/03_enrichment.R","secondary_enrichment_categories","expression_128:lines_992-1000:reporting_export_and_completion"
"add_enrichment_priority","R/03_enrichment.R","specific_biology_pattern","expression_129:lines_1002-1016:reporting_export_and_completion"
"is_generic_enrichment_term","R/03_enrichment.R","specific_biology_pattern","expression_129:lines_1002-1016:reporting_export_and_completion"
"run_string_enrichment_online","R/03_enrichment.R","string_db","expression_48:lines_266-287:input_normalization_and_string_mapping"
