"checkpoint","function_name","original_start_line","original_end_line","original_line_span","original_text_md5","target_file","extraction_mode"
"2.4","check_package",26,34,9,"415622fa05232732cff77f28c5bcc5ca","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","parse_bool",48,50,3,"362d1eb4aed1bd391ffc39a58d1b76df","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","is_bool_like",52,54,3,"364894f2605381829f68025414a19e2b","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","normalize_enrichment_mode",56,75,20,"43373217df31e49535c400020a84e8c0","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","normalize_path_for_compare",128,130,3,"7fb184fb9ca2564f430afb766f53612e","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","msg",175,175,1,"e68daf63a5ca22e3d816b1f526ee34da","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","as_number",191,193,3,"7d6898b98d272313fa37b15e69b21f77","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","clean_names",195,201,7,"e8cc3e71e0b078a2eb06a727b09469d4","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","find_column",203,206,4,"12a1a3c447036adc6c76479a0b11abf9","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","safe_min",271,274,4,"fd2b90d5afcb8cce52bfe51eb86258f9","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","safe_mean",276,279,4,"9560a53058db72fecc7b6236fdcda4a1","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","minmax",281,300,20,"edeaf6ad91355beeb3ceaf55dacc1823","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","top_genes",460,471,12,"10fe161a59582b8c3b46ae25f9171750","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","collapse_terms",473,480,8,"dbc2c07e67eab2b4ade87e7e365192af","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","truncate_text",1624,1630,7,"58e9947c07c726f83d2fe5ee28196160","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","normalize_label_text",1632,1636,5,"c60283a3c367ea708ec7286387a06bbb","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","humanize_label",1638,1644,7,"a5fcbaa3ec9962224fad9d49f498a351","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","rank_desc",1646,1648,3,"1014eb7c0f886c41462b09273f14bef5","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","evidence_level",1650,1667,18,"de8cbed96e080e334dc04a36cddbd890","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","%||%",2354,2356,3,"668f7a9a4df732148b018dc351229b1b","R/00_utils.R","exact_source_range_without_semantic_rewrite"
"2.4","metric_value",2744,2750,7,"b2a9bc03213a08f04af77a014ede87bd","R/00_utils.R","exact_source_range_without_semantic_rewrite"
