"checkpoint","function_name","original_start_line","original_end_line","original_line_span","original_text_md5","target_file","extraction_mode"
"2.8","label_module_by_markers",221,254,34,"2875ce2b0ec05745b4e5e6407437ef16","R/04_module_labeling.R","exact_source_range_without_semantic_rewrite"
"2.8","clean_module_label_from_terms",256,297,42,"e754e117676b3113138798a99bf6f16e","R/04_module_labeling.R","exact_source_range_without_semantic_rewrite"
"2.8","max_marker_overlap_count",1157,1170,14,"a9cce7a5efe619cea3141979176c5489","R/04_module_labeling.R","exact_source_range_without_semantic_rewrite"
"2.8","has_assigned_label",1172,1174,3,"1ec02d773fe14c43d46402d25ccd35ac","R/04_module_labeling.R","exact_source_range_without_semantic_rewrite"
"2.8","label_rulebook_table",1296,1305,10,"fde9d9da053c0b2efdffe024c7bbf1a3","R/04_module_labeling.R","exact_source_range_without_semantic_rewrite"
"2.8","matches_any_pattern",1307,1316,10,"593c688054b73fd08a424636250e7707","R/04_module_labeling.R","exact_source_range_without_semantic_rewrite"
"2.8","count_matching_patterns",1318,1327,10,"788e5240268649d5c25afe18d7a4bdd7","R/04_module_labeling.R","exact_source_range_without_semantic_rewrite"
"2.8","extract_marker_counts",1329,1344,16,"6d4707e449a60699bc0640c824518b52","R/04_module_labeling.R","exact_source_range_without_semantic_rewrite"
"2.8","marker_count_for_rule",1346,1352,7,"f32ed833e1530ba72a63fe25db7993b5","R/04_module_labeling.R","exact_source_range_without_semantic_rewrite"
"2.8","label_evidence_score",1354,1369,16,"0f0d54c0afe0caee7704f22974f58e27","R/04_module_labeling.R","exact_source_range_without_semantic_rewrite"
"2.8","assign_label_confidence",1371,1388,18,"eb9021b0691ba72b050fd6f1386c3477","R/04_module_labeling.R","exact_source_range_without_semantic_rewrite"
"2.8","label_source_from_counts",1390,1399,10,"c11c478e780c0d1eb25b928d42ffeb84","R/04_module_labeling.R","exact_source_range_without_semantic_rewrite"
"2.8","supporting_themes_from_evidence",1401,1444,44,"ad21eabcf4b559de117a676924ac6c83","R/04_module_labeling.R","exact_source_range_without_semantic_rewrite"
"2.8","assign_module_label_with_rules",1446,1528,83,"a0b791d25f944c53c000b6c7e8d6a97c","R/04_module_labeling.R","exact_source_range_without_semantic_rewrite"
