"case_id","workbook","sheet_name","baseline_exists","candidate_exists","baseline_rows","candidate_rows","baseline_columns","candidate_columns","same_column_names","baseline_read_error","candidate_read_error"
"A01","analytical_report","Executive summary",TRUE,TRUE,12,12,3,3,TRUE,,
"A01","analytical_report","Final priorities",TRUE,TRUE,15,15,7,7,TRUE,,
"A01","analytical_report","Major module priorities",TRUE,TRUE,5,5,29,29,TRUE,,
"A01","analytical_report","Candidate rationale",TRUE,TRUE,169,169,51,51,TRUE,,
"A01","analytical_report","Top candidates",TRUE,TRUE,30,30,27,27,TRUE,,
"A01","analytical_report","Graph summary",TRUE,TRUE,14,14,3,3,TRUE,,
"A01","analytical_report","All modules",TRUE,TRUE,43,43,48,48,TRUE,,
"A01","analytical_report","Top degree",TRUE,TRUE,30,30,22,22,TRUE,,
"A01","analytical_report","Top betweenness",TRUE,TRUE,30,30,22,22,TRUE,,
"A01","analytical_report","Top stress",TRUE,TRUE,30,30,22,22,TRUE,,
"A01","analytical_report","Degree distribution",TRUE,TRUE,30,30,4,4,TRUE,,
"A01","technical_report","Mapping summary",TRUE,TRUE,8,8,2,2,TRUE,,
"A01","technical_report","Gene status",TRUE,TRUE,400,400,10,10,TRUE,,
"A01","technical_report","Alias corrections",TRUE,TRUE,231,231,4,4,TRUE,,
"A01","technical_report","Unmapped genes",TRUE,TRUE,231,231,1,1,TRUE,,
"A01","technical_report","HGNC normalization",TRUE,TRUE,400,400,3,3,TRUE,,
"A01","technical_report","Genes used table",TRUE,TRUE,169,169,6,6,TRUE,,
"A01","technical_report","Raw node metrics",TRUE,TRUE,169,169,43,43,TRUE,,
"A01","technical_report","Raw all modules",TRUE,TRUE,43,43,48,48,TRUE,,
"A01","technical_report","Raw major modules",TRUE,TRUE,5,5,49,49,TRUE,,
"A01","technical_report","Top module enrichment",TRUE,TRUE,40,40,14,14,TRUE,,
"A01","technical_report","Top network enrichment",TRUE,TRUE,25,25,13,13,TRUE,,
"A01","technical_report","Top candidate enrichment",TRUE,TRUE,25,25,13,13,TRUE,,
"A01","technical_report","Raw module enrichment",TRUE,TRUE,2980,2980,14,14,TRUE,,
"A01","technical_report","Raw network enrichment",TRUE,TRUE,2413,2413,13,13,TRUE,,
"A01","technical_report","Raw candidate enrichment",TRUE,TRUE,1337,1337,13,13,TRUE,,
"A01","technical_report","Session info",TRUE,TRUE,45,45,1,1,TRUE,,
