"function_name","arguments","start_line","end_line","line_span","module_id","target_file","extraction_order"
"check_package","pkg",26,34,9,"00_utils","R/00_utils.R",1
"parse_bool","x",48,50,3,"00_utils","R/00_utils.R",1
"is_bool_like","x",52,54,3,"00_utils","R/00_utils.R",1
"normalize_enrichment_mode","x",56,75,20,"00_utils","R/00_utils.R",1
"normalize_path_for_compare","x",128,130,3,"00_utils","R/00_utils.R",1
"msg","...",175,175,1,"00_utils","R/00_utils.R",1
"as_number","x",191,193,3,"00_utils","R/00_utils.R",1
"clean_names","x",195,201,7,"00_utils","R/00_utils.R",1
"find_column","nm;candidates",203,206,4,"00_utils","R/00_utils.R",1
"safe_min","x",271,274,4,"00_utils","R/00_utils.R",1
"safe_mean","x",276,279,4,"00_utils","R/00_utils.R",1
"minmax","x",281,300,20,"00_utils","R/00_utils.R",1
"top_genes","genes;score;n",460,471,12,"00_utils","R/00_utils.R",1
"collapse_terms","x;n",473,480,8,"00_utils","R/00_utils.R",1
"truncate_text","x;max_chars",1624,1630,7,"00_utils","R/00_utils.R",1
"normalize_label_text","x",1632,1636,5,"00_utils","R/00_utils.R",1
"humanize_label","x",1638,1644,7,"00_utils","R/00_utils.R",1
"rank_desc","x",1646,1648,3,"00_utils","R/00_utils.R",1
"evidence_level","x",1650,1667,18,"00_utils","R/00_utils.R",1
"%||%","x;y",2354,2356,3,"00_utils","R/00_utils.R",1
"metric_value","tbl;metric_name",2744,2750,7,"00_utils","R/00_utils.R",1
"guess_separator","file",177,189,13,"01_input","R/01_input.R",2
"read_gene_table","file",208,269,62,"01_input","R/01_input.R",2
"classify_symbol_pattern","sym",302,334,33,"02_string_mapping","R/02_string_mapping.R",3
"status_from_mapping","mapped_initially;mapped_after_alias;symbol_class",336,356,21,"02_string_mapping","R/02_string_mapping.R",3
"pick_string_id_col","x",724,740,17,"02_string_mapping","R/02_string_mapping.R",3
"pick_alias_col","x;id_col",742,756,15,"02_string_mapping","R/02_string_mapping.R",3
"pick_preferred_name_col","x",758,767,10,"02_string_mapping","R/02_string_mapping.R",3
"make_string_links","string_ids;score_threshold",769,784,16,"02_string_mapping","R/02_string_mapping.R",3
"map_to_string","db;data;gene_col;removeUnmappedRows",800,853,54,"02_string_mapping","R/02_string_mapping.R",3
"clean_enrichment_table","x",482,500,19,"03_enrichment","R/03_enrichment.R",4
"run_gprofiler","genes;query_name;organism",502,534,33,"03_enrichment","R/03_enrichment.R",4
"string_enrichment_terms_candidates","cache_dir",537,545,9,"03_enrichment","R/03_enrichment.R",4
"find_string_enrichment_terms","cache_dir",547,554,8,"03_enrichment","R/03_enrichment.R",4
"download_string_enrichment_terms","cache_dir",556,579,24,"03_enrichment","R/03_enrichment.R",4
"read_string_enrichment_terms","cache_dir",581,640,60,"03_enrichment","R/03_enrichment.R",4
"run_local_string_enrichment","query_ids;background_ids;term_map;query_name;id_to_gene;min_query_hits;min_term_size;max_term_size",642,722,81,"03_enrichment","R/03_enrichment.R",4
"run_string_enrichment_online","ids;query_name",1329,1350,22,"03_enrichment","R/03_enrichment.R",4
"is_generic_enrichment_term","description",1738,1753,16,"03_enrichment","R/03_enrichment.R",4
"add_enrichment_priority","tbl",1755,1771,17,"03_enrichment","R/03_enrichment.R",4
"select_top_enrichment","tbl;group_cols;n_per_group;specific_only",1773,1820,48,"03_enrichment","R/03_enrichment.R",4
"collapse_module_enrichment","tbl;n_terms",1822,1888,67,"03_enrichment","R/03_enrichment.R",4
"collapse_gprofiler_module_enrichment","tbl;n_terms",1891,1917,27,"03_enrichment","R/03_enrichment.R",4
"collapse_string_online_module_enrichment","tbl;n_terms",1919,1963,45,"03_enrichment","R/03_enrichment.R",4
"online_concordance_status","specific_label_candidate;online_text",1965,1979,15,"03_enrichment","R/03_enrichment.R",4
"label_module_by_markers","genes;max_labels",382,415,34,"04_module_labeling","R/04_module_labeling.R",5
"clean_module_label_from_terms","terms;fallback_label",417,458,42,"04_module_labeling","R/04_module_labeling.R",5
"max_marker_overlap_count","marker_summary",1981,1994,14,"04_module_labeling","R/04_module_labeling.R",5
"has_assigned_label","x",1996,1998,3,"04_module_labeling","R/04_module_labeling.R",5
"label_rulebook_table","",2120,2129,10,"04_module_labeling","R/04_module_labeling.R",5
