"expression_index","phase","start_line","end_line","line_span","call_head","assignment_target","is_function_definition","preview"
1,"bootstrap_and_module_loading",4,8,5,"<-",".cancerppir_file_argument",FALSE,".cancerppir_file_argument <- grep( ""^--file="", commandArgs(trailingOnly = FALSE), value = TRUE )"
2,"bootstrap_and_module_loading",10,30,21,"<-",".cancerppir_project_root",FALSE,".cancerppir_project_root <- if ( length(.cancerppir_file_argument) >= 1L ) { dirname( normalizePath( sub( ""^--file="", """", .cancerppir_file_argument[[1L]] ), winslash = ""/"", must..."
3,"bootstrap_and_module_loading",32,39,8,"source",,FALSE,"source( file.path( .cancerppir_project_root, ""R"", ""load_all.R"" ), local = TRUE )"
4,"bootstrap_and_module_loading",41,44,4,"load_cancerppir_modules",,FALSE,"load_cancerppir_modules( project_root = .cancerppir_project_root, envir = environment() )"
5,"bootstrap_and_module_loading",46,49,4,"rm",,FALSE,"rm( .cancerppir_file_argument, .cancerppir_project_root )"
6,"bootstrap_and_module_loading",71,71,1,"<-","required_cran",FALSE,"required_cran <- c(""HGNChelper"", ""igraph"", ""openxlsx"", ""dplyr"", ""tibble"", ""curl"", ""sna"")"
7,"bootstrap_and_module_loading",72,72,1,"<-","required_bioc",FALSE,"required_bioc <- c(""STRINGdb"")"
8,"bootstrap_and_module_loading",73,73,1,"<-","optional_cran",FALSE,"optional_cran <- c(""gprofiler2"")"
9,"bootstrap_and_module_loading",76,76,1,"invisible",,FALSE,"invisible(lapply(c(required_cran, required_bioc), check_package))"
10,"bootstrap_and_module_loading",78,86,9,"suppressPackageStartupMessages",,FALSE,"suppressPackageStartupMessages({ library(HGNChelper) library(STRINGdb) library(igraph) library(openxlsx) library(dplyr) library(tibble) library(curl) })"
11,"cli_configuration_and_setup",91,91,1,"<-","args",FALSE,"args <- commandArgs(trailingOnly = TRUE)"
12,"cli_configuration_and_setup",93,105,13,"if",,FALSE,"if (length(args) < 3) { stop( paste( ""Usage:"", ""Rscript CancerPPIr_final_v8_offline.R input.csv results_dir string_cache [score_threshold] [top_n] [run_enrichment]"", """", ""Output..."
13,"cli_configuration_and_setup",107,107,1,"<-","input_file",FALSE,"input_file <- args[[1]]"
14,"cli_configuration_and_setup",108,108,1,"<-","results_root",FALSE,"results_root <- args[[2]]"
15,"cli_configuration_and_setup",109,109,1,"<-","cache_dir",FALSE,"cache_dir <- args[[3]]"
16,"cli_configuration_and_setup",110,110,1,"<-","score_threshold",FALSE,"score_threshold <- if (length(args) >= 4) as.integer(args[[4]]) else 400L"
17,"cli_configuration_and_setup",111,111,1,"<-","top_n",FALSE,"top_n <- if (length(args) >= 5) as.integer(args[[5]]) else 30L"
18,"cli_configuration_and_setup",116,125,10,"if",,FALSE,"if (length(args) >= 6) { arg6 <- tolower(trimws(as.character(args[[6]]))) run_enrichment <- if (arg6 %in% c(""offline"", ""local"", ""local_only"", ""reproducible"")) { TRUE } else { pa..."
