"assigned_symbol","expression_index","phase","start_line","end_line"
".cancerppir_file_argument",1,"bootstrap_and_module_loading",4,8
".cancerppir_project_root",2,"bootstrap_and_module_loading",10,30
"required_cran",6,"bootstrap_and_module_loading",71,71
"required_bioc",7,"bootstrap_and_module_loading",72,72
"optional_cran",8,"bootstrap_and_module_loading",73,73
"args",11,"cli_configuration_and_setup",91,91
"input_file",13,"cli_configuration_and_setup",107,107
"results_root",14,"cli_configuration_and_setup",108,108
"cache_dir",15,"cli_configuration_and_setup",109,109
"score_threshold",16,"cli_configuration_and_setup",110,110
"top_n",17,"cli_configuration_and_setup",111,111
"arg6",18,"cli_configuration_and_setup",116,125
"run_enrichment",18,"cli_configuration_and_setup",116,125
"sample_name",20,"cli_configuration_and_setup",135,135
"sample_name",21,"cli_configuration_and_setup",136,136
"sample_name",22,"cli_configuration_and_setup",137,137
"results_root_cmp",24,"cli_configuration_and_setup",143,143
"results_root_base",25,"cli_configuration_and_setup",144,144
"results_root_parent",26,"cli_configuration_and_setup",145,145
"output_dir",27,"cli_configuration_and_setup",147,156
"enrichment_mode",28,"cli_configuration_and_setup",159,159
"run_online_enrichment",29,"cli_configuration_and_setup",160,160
"ca_bundle",37,"cli_configuration_and_setup",180,180
"marker_sets",39,"cli_configuration_and_setup",197,207
"module_clean_labels",40,"cli_configuration_and_setup",209,219
"input_tbl",42,"input_normalization_and_string_mapping",240,240
"hgnc_map",44,"input_normalization_and_string_mapping",243,252
"input_tbl",45,"input_normalization_and_string_mapping",254,259
"string_db",48,"input_normalization_and_string_mapping",266,287
"mapped_initial",50,"input_normalization_and_string_mapping",290,290
"initial_total",51,"input_normalization_and_string_mapping",292,292
"initial_mapped",52,"input_normalization_and_string_mapping",293,293
"initial_unmapped",53,"input_normalization_and_string_mapping",294,294
"initial_pct",54,"input_normalization_and_string_mapping",295,295
"unmapped_genes",55,"input_normalization_and_string_mapping",297,297
"alias_corrections",56,"input_normalization_and_string_mapping",299,304
"alias_col",57,"input_normalization_and_string_mapping",306,381
"alias_corrections",57,"input_normalization_and_string_mapping",306,381
"alias_hgnc",57,"input_normalization_and_string_mapping",306,381
"alias_hits",57,"input_normalization_and_string_mapping",306,381
"aliases",57,"input_normalization_and_string_mapping",306,381
"aliases_std",57,"input_normalization_and_string_mapping",306,381
"id_alias_col",57,"input_normalization_and_string_mapping",306,381
"id_protein_col",57,"input_normalization_and_string_mapping",306,381
"name_col",57,"input_normalization_and_string_mapping",306,381
"proteins",57,"input_normalization_and_string_mapping",306,381
"proteins_std",57,"input_normalization_and_string_mapping",306,381
"string_tables",57,"input_normalization_and_string_mapping",306,381
"valid_alias_corrections",58,"input_normalization_and_string_mapping",383,385
"input_final",59,"input_normalization_and_string_mapping",387,387
"input_final",60,"input_normalization_and_string_mapping",389,398
"mapped_final_raw",61,"input_normalization_and_string_mapping",400,400
"alias_corrections",62,"input_normalization_and_string_mapping",402,411
"alias_status",62,"input_normalization_and_string_mapping",402,411
"mapped_final",63,"input_normalization_and_string_mapping",413,415
"after_total",65,"input_normalization_and_string_mapping",421,421
"after_mapped",66,"input_normalization_and_string_mapping",422,422
"after_unmapped",67,"input_normalization_and_string_mapping",423,423
"after_pct",68,"input_normalization_and_string_mapping",424,424
"ppi_raw",70,"string_subnetwork_construction",427,427
"ppi",72,"string_subnetwork_construction",433,435
"node_ids",73,"string_subnetwork_construction",437,437
"annotation",74,"string_subnetwork_construction",439,446
"comp",76,"network_metrics_modules_and_candidates",449,449
"largest_component",77,"network_metrics_modules_and_candidates",450,450
"lcc_nodes",78,"network_metrics_modules_and_candidates",451,451
"ppi_lcc",79,"network_metrics_modules_and_candidates",452,452
"louvain",80,"network_metrics_modules_and_candidates",454,454
"degree_all",81,"network_metrics_modules_and_candidates",456,456
"betweenness_all",82,"network_metrics_modules_and_candidates",457,457
"closeness_all",83,"network_metrics_modules_and_candidates",458,458
"harmonic_all",85,"network_metrics_modules_and_candidates",461,465
"local_clustering_all",86,"network_metrics_modules_and_candidates",467,467
"adj",88,"network_metrics_modules_and_candidates",470,487
"stress_all",88,"network_metrics_modules_and_candidates",470,487
"global_clustering",89,"network_metrics_modules_and_candidates",489,489
"global_clustering",90,"network_metrics_modules_and_candidates",490,490
"average_path_lcc",91,"network_metrics_modules_and_candidates",492,496
"diameter_lcc",92,"network_metrics_modules_and_candidates",498,502
"radius_lcc",93,"network_metrics_modules_and_candidates",504,508
"node_metrics",94,"network_metrics_modules_and_candidates",510,539
"top_n",95,"network_metrics_modules_and_candidates",541,541
"top_candidates",96,"network_metrics_modules_and_candidates",543,544
"top_by_degree",97,"network_metrics_modules_and_candidates",546,548
"top_by_betweenness",98,"network_metrics_modules_and_candidates",550,552
"top_by_stress",99,"network_metrics_modules_and_candidates",554,556
"degree_distribution",100,"network_metrics_modules_and_candidates",558,564
"module_labels",101,"network_metrics_modules_and_candidates",566,569
"module_summary",102,"network_metrics_modules_and_candidates",571,603
"major_module_ids",103,"network_metrics_modules_and_candidates",607,607
"graph_summary",104,"network_metrics_modules_and_candidates",609,642
"mapping_summary",105,"network_metrics_modules_and_candidates",644,665
"gene_status",106,"network_metrics_modules_and_candidates",667,706
"still_unmapped",107,"network_metrics_modules_and_candidates",708,711
"enrichment_string_online_all",108,"network_metrics_modules_and_candidates",714,714
"enrichment_string_online_top",109,"network_metrics_modules_and_candidates",715,715
