"workbook","sheet","rows","columns","empty_sheet","duplicate_normalized_headers"
"analytical_workbook","Executive summary",12,3,FALSE,""
"analytical_workbook","Final priorities",15,7,FALSE,""
"analytical_workbook","Major module priorities",5,29,FALSE,""
"analytical_workbook","Candidate rationale",169,51,FALSE,""
"analytical_workbook","Top candidates",30,27,FALSE,""
"analytical_workbook","Graph summary",14,3,FALSE,""
"analytical_workbook","All modules",43,48,FALSE,""
"analytical_workbook","Top degree",30,22,FALSE,""
"analytical_workbook","Top betweenness",30,22,FALSE,""
"analytical_workbook","Top stress",30,22,FALSE,""
"analytical_workbook","Degree distribution",30,4,FALSE,""
"technical_workbook","Mapping summary",8,2,FALSE,""
"technical_workbook","Gene status",400,10,FALSE,""
"technical_workbook","Alias corrections",231,4,FALSE,""
"technical_workbook","Unmapped genes",231,1,FALSE,""
"technical_workbook","HGNC normalization",400,3,FALSE,""
"technical_workbook","Genes used table",169,6,FALSE,""
"technical_workbook","Raw node metrics",169,43,FALSE,""
"technical_workbook","Raw all modules",43,48,FALSE,""
"technical_workbook","Raw major modules",5,49,FALSE,""
"technical_workbook","Top module enrichment",40,14,FALSE,""
"technical_workbook","Top network enrichment",25,13,FALSE,""
"technical_workbook","Top candidate enrichment",25,13,FALSE,""
"technical_workbook","Raw module enrichment",2948,14,FALSE,""
"technical_workbook","Raw network enrichment",2413,13,FALSE,""
"technical_workbook","Raw candidate enrichment",1337,13,FALSE,""
"technical_workbook","Session info",45,1,FALSE,""
