"tag_name","commit_sha","commit_date","classification"
"legacy-baseline-complete","345ad3d781d2991ea01a8e9aabe894af4dc686c4","2026-07-15T15:11:24+03:00","legacy-checkpoint"
"phase-1-renv-complete","60d06463d832885ba978e0b2c01ede50bfa33dbd","2026-07-20T13:12:24+03:00","legacy-checkpoint"
"phase-2-architecture-complete","f08ec10a39c8298d8f86c80badd9dbb212cfe089","2026-07-21T15:35:27+03:00","legacy-checkpoint"
"phase-2-architecture-validated","f08ec10a39c8298d8f86c80badd9dbb212cfe089","2026-07-21T15:35:27+03:00","legacy-checkpoint"
"phase-3-testing-complete","3b47aa15a6ce0339a0279507489a0fa6c9d593d3","2026-07-21T18:07:10+03:00","legacy-checkpoint"
"phase-4-5-analytical-workbook-complete","9901408dbf4ca6f4de87ede12cc7dddf971a7457","2026-07-24T14:42:57+03:00","legacy-checkpoint"
"phase-4-6-canonical-annotations-complete","a85633bd002357daed2b3e80564b75d2299d61d7","2026-07-24T18:09:58+03:00","legacy-checkpoint"
"phase-4-7-output-provenance-complete","0b05535118c858cd24e15b3fb64b738ff381111e","2026-07-24T19:08:04+03:00","legacy-checkpoint"
"phase-4-8-documentation-complete","44633adea7c3052147ca8c40d79f5b689e0b60a7","2026-07-24T19:38:50+03:00","legacy-checkpoint"
"phase-4-biological-rulebook-v1","fdda79adb8d27b14d434b3d8edd2a95da3d96325","2026-07-21T21:13:01+03:00","legacy-checkpoint"
"pre-refactor-baseline","6bf184d814c367f5f8e97bf1bc41c73d6c6320e9","2026-07-14T15:56:19+03:00","legacy-checkpoint"
